ProblemSet;ProblemName;ProblemFile;SolutionFile;Type;Size;Tightness;Optimal;BKS;CpuSolveTime;Difficulty
A;A-n32-k5;A-n32-k5.vrp;A-n32-k5.opt;U;32;0.82;784;784;5.327481761;0.396069956
A;A-n37-k5;A-n37-k5.vrp;A-n37-k5.opt;U;37;0.81;669;669;19;0.429725783
A;A-n33-k5;A-n33-k5.vrp;A-n33-k5.opt;U;33;0.89;661;661;8.168805367;0.418957684
A;A-n33-k6;A-n33-k6.vrp;A-n33-k6.opt;U;33;0.9;742;742;13.49628713;0.43154882
A;A-n34-k5;A-n34-k5.vrp;A-n34-k5.opt;U;34;0.92;778;778;9.58946717;0.429217464
A;A-n36-k5;A-n36-k5.vrp;A-n36-k5.opt;U;36;0.88;799;799;18.11343799;0.43956572
A;A-n38-k5;A-n38-k5.vrp;A-n38-k5.opt;U;38;0.96;730;730;26;0.464845957
A;A-n39-k6;A-n39-k6.vrp;A-n39-k6.opt;U;39;0.88;831;831;98;0.483701491
A;A-n46-k7;A-n46-k7.vrp;A-n46-k7.opt;U;46;0.86;914;914;92;0.490221643
A;A-n44-k6;A-n44-k6.vrp;A-n44-k6.opt;U;44;0.95;937;937;90;0.502017724
A;A-n48-k7;A-n48-k7.vrp;A-n48-k7.opt;U;48;0.89;1073;1073;166;0.512785082
A;A-n39-k5;A-n39-k5.vrp;A-n39-k5.opt;U;39;0.95;822;822;167;0.508400438
A;A-n55-k9;A-n55-k9.vrp;A-n55-k9.opt;U;55;0.93;1073;1073;84;0.515136601
A;A-n45-k7;A-n45-k7.vrp;A-n45-k7.opt;U;45;0.91;1146;1146;331;0.527719725
A;A-n37-k6;A-n37-k6.vrp;A-n37-k6.opt;U;37;0.95;949;949;379;0.524588596
A;A-n45-k6;A-n45-k6.vrp;A-n45-k6.opt;U;45;0.99;944;944;170;0.525424605
A;A-n53-k7;A-n53-k7.vrp;A-n53-k7.opt;U;53;0.95;1010;1010;611;0.562369444
A;A-n65-k9;A-n65-k9.vrp;A-n65-k9.opt;U;65;0.97;1174;1174;516;0.581508907
A;A-n54-k7;A-n54-k7.vrp;A-n54-k7.opt;U;54;0.96;1167;1167;1409;0.585641391
A;A-n63-k9;A-n63-k9.vrp;A-n63-k9.opt;U;63;0.97;1616;1616;1046;0.595061656
